1951,259
1952,259
1953,259
1954,259
1955,301
1956,301
1957,301
1958,301
1959,301
1960,321
1961,321
1962,321
1963,321
1964,321
1965,350
1966,350
1967,350
1968,350
1969,350
1970,295
1971,295
1972,295
1973,295
1974,295
1975,179
1976,270
1977,293
1978,315
1979,370
1980,436
1981,475
1982,401
1983,362
1984,408
1985,458
1986,573
1987,724
1988,735
1989,670
1990,740
1991,657
1992,443
1993,389
1994,473
1995,563
1996,472
1997,399
1998,437
1999,469
2000,567
2001,502
2002,527
2003,614
2004,678
2005,692
2006,825
2007,1319
2008,1608
2009,1781
2010,1103
2011,597
2012,597
2013,597
2014,597
2015,597
2016,597
2017,597
2018,597
2019,597
2020,597
2021,597
2022,597
2023,597
2024,597
2025,597
2026,597
2027,597
2028,597
2029,597
2030,597
2031,597
2032,597
2033,597
2034,597
2035,597
2036,597
2037,597
2038,597
2039,597
2040,597
2041,597
2042,597
2043,597
2044,597
2045,597
2046,597
2047,597
2048,597
2049,597
2050,597
