1951,12684
1952,12684
1953,12684
1954,12684
1955,14402
1956,14402
1957,14402
1958,14402
1959,14402
1960,15361
1961,15361
1962,15361
1963,15361
1964,15361
1965,16892
1966,16892
1967,16892
1968,16892
1969,16892
1970,14178
1971,14178
1972,14178
1973,14178
1974,14178
1975,8423
1976,12604
1977,13694
1978,14652
1979,17193
1980,20426
1981,22215
1982,18694
1983,16711
1984,18862
1985,21208
1986,26526
1987,33526
1988,34057
1989,30913
1990,34008
1991,30187
1992,20352
1993,17919
1994,21776
1995,25922
1996,21783
1997,18458
1998,20216
1999,21688
2000,26192
2001,23144
2002,24272
2003,28342
2004,31258
2005,31869
2006,37980
2007,60675
2008,73885
2009,81801
2010,50785
2011,27528
2012,27528
2013,27528
2014,27528
2015,27528
2016,27528
2017,27528
2018,27528
2019,27528
2020,27528
2021,27528
2022,27528
2023,27528
2024,27528
2025,27528
2026,27528
2027,27528
2028,27528
2029,27528
2030,27528
2031,27528
2032,27528
2033,27528
2034,27528
2035,27528
2036,27528
2037,27528
2038,27528
2039,27528
2040,27528
2041,27528
2042,27528
2043,27528
2044,27528
2045,27528
2046,27528
2047,27528
2048,27528
2049,27528
2050,27528
