Year,bgmort0to4,bgmort5to14,bgmort15to44,bgmort45,births,mig0to4chronic,mig0to4cleared,mig0to4sus,mig5to14chronic,mig5to14cleared,mig5to14sus,mig15to44chronic,mig15to44cleared,mig15to44sus,mig45chronic,mig45cleared,mig45sus
1951,0.006006143,0.000593786,0.001723214,0.027268689,193298,259,1951,10810,389,2927,16214,1684,12684,70262,259,1951,10810
1952,0.005877571,0.000574643,0.001703357,0.027121689,201650,259,1951,10810,389,2927,16214,1684,12684,70262,259,1951,10810
1953,0.005749,0.0005555,0.0016835,0.026974689,202235,259,1951,10810,389,2927,16214,1684,12684,70262,259,1951,10810
1954,0.005620429,0.000536357,0.001663643,0.026827689,202256,259,1951,10810,389,2927,16214,1684,12684,70262,259,1951,10810
1955,0.005491857,0.000517214,0.001643786,0.026680689,207677,301,2216,9525,451,3323,14288,1956,14402,61914,301,2216,9525
1956,0.005363286,0.000498071,0.001623929,0.026533689,212133,301,2216,9525,451,3323,14288,1956,14402,61914,301,2216,9525
1957,0.005234714,0.000478929,0.001604071,0.026386689,220358,301,2216,9525,451,3323,14288,1956,14402,61914,301,2216,9525
1958,0.005106143,0.000459786,0.001584214,0.026239689,222504,301,2216,9525,451,3323,14288,1956,14402,61914,301,2216,9525
1959,0.004977571,0.000440643,0.001564357,0.026092689,226976,301,2216,9525,451,3323,14288,1956,14402,61914,301,2216,9525
1960,0.004849,0.0004215,0.001545333,0.025946135,230326,321,2363,10603,481,3545,15905,2084,15361,68920,321,2363,10603
1961,0.0047826,0.0004133,0.001555533,0.026125335,239986,321,2363,10603,481,3545,15905,2084,15361,68920,321,2363,10603
1962,0.0047162,0.0004051,0.001565733,0.026304535,237081,321,2363,10603,481,3545,15905,2084,15361,68920,321,2363,10603
1963,0.0046498,0.0003969,0.001575933,0.026483735,235689,321,2363,10603,481,3545,15905,2084,15361,68920,321,2363,10603
1964,0.0045834,0.0003887,0.001586133,0.026662935,229149,321,2363,10603,481,3545,15905,2084,15361,68920,321,2363,10603
1965,0.004517,0.0003805,0.001596167,0.0268418,222854,350,2599,12671,525,3898,19007,2275,16892,82364,350,2599,12671
1966,0.0044454,0.0003791,0.001586567,0.0270646,223731,350,2599,12671,525,3898,19007,2275,16892,82364,350,2599,12671
1967,0.0043738,0.0003777,0.001576967,0.0272874,229296,350,2599,12671,525,3898,19007,2275,16892,82364,350,2599,12671
1968,0.0043022,0.0003763,0.001567367,0.0275102,240906,350,2599,12671,525,3898,19007,2275,16892,82364,350,2599,12671
1969,0.0042306,0.0003749,0.001557767,0.027733,250175,350,2599,12671,525,3898,19007,2275,16892,82364,350,2599,12671
1970,0.004159,0.0003735,0.001547667,0.027956466,257516,295,2181,9763,443,3272,14645,1919,14178,63462,295,2181,9763
1971,0.0039766,0.0003609,0.001517267,0.027155666,276361,295,2181,9763,443,3272,14645,1919,14178,63462,295,2181,9763
1972,0.0037942,0.0003483,0.001486867,0.026354866,264969,295,2181,9763,443,3272,14645,1919,14178,63462,295,2181,9763
1973,0.0036118,0.0003357,0.001456467,0.025554066,247670,295,2181,9763,443,3272,14645,1919,14178,63462,295,2181,9763
1974,0.0034294,0.0003231,0.001426067,0.024753266,245177,295,2181,9763,443,3272,14645,1919,14178,63462,295,2181,9763
1975,0.003247,0.000311,0.001396167,0.023951948,233012,179,1296,3800,268,1944,5701,1163,8423,24702,179,1296,3800
1976,0.0031004,0.0003016,0.001354567,0.023727148,227810,270,1939,4879,405,2909,7318,1755,12604,31713,270,1939,4879
1977,0.0029538,0.0002922,0.001312967,0.023502348,226291,293,2107,4918,439,3160,7377,1902,13694,31965,293,2107,4918
1978,0.0028072,0.0002828,0.001271367,0.023277548,224181,315,2254,4150,473,3381,6225,2049,14652,26974,315,2254,4150
1979,0.0026606,0.0002734,0.001229767,0.023052748,223129,370,2645,5060,554,3968,7590,2402,17193,32891,370,2645,5060
1980,0.002514,0.000264,0.001188,0.022827817,225527,436,3143,7490,654,4714,11236,2833,20426,48688,436,3143,7490
1981,0.0024506,0.000256,0.0011682,0.022896417,235842,475,3418,7911,712,5127,11866,3086,22215,51419,475,3418,7911
1982,0.0023872,0.000248,0.0011484,0.022965017,239903,401,2876,6024,601,4314,9036,2605,18694,39158,401,2876,6024
1983,0.0023238,0.00024,0.0011286,0.023033617,242570,362,2571,3949,542,3856,5923,2350,16711,25667,362,2571,3949
1984,0.0022604,0.000232,0.0011088,0.023102217,234034,408,2902,4441,613,4353,6661,2654,18862,28864,408,2902,4441
1985,0.002197,0.000224,0.001089167,0.023171448,247348,458,3263,5538,687,4894,8307,2976,21208,35999,458,3263,5538
1986,0.002108,0.0002136,0.001071567,0.022771648,243408,573,4081,6700,860,6121,10050,3725,26526,43551,573,4081,6700
1987,0.002019,0.0002032,0.001053967,0.022371848,243959,724,5158,8465,1086,7737,12697,4708,33526,55019,724,5158,8465
1988,0.00193,0.0001928,0.001036367,0.021972048,246193,735,5240,8557,1103,7859,12835,4780,34057,55618,735,5240,8557
1989,0.001841,0.0001824,0.001018767,0.021572248,250853,670,4756,6697,1005,7134,10045,4354,30913,43530,670,4756,6697
1990,0.001752,0.000172,0.001000667,0.021172281,262648,740,5232,6197,1109,7848,9296,4807,34008,40282,740,5232,6197
1991,0.001677,0.0001696,0.000993867,0.020841081,257247,657,4644,5438,986,6966,8156,4272,30187,35345,657,4644,5438
1992,0.001602,0.0001672,0.000987067,0.020509881,264151,443,3131,4059,664,4697,6089,2877,20352,26385,443,3131,4059
