parameter,value,lower,upper
sus_prop_0,0.998,0.7485,1.2475
sus_prop_1,0.994,0.7455,1.2425
sus_prop_2,0.94,0.705,1.175
sus_prop_3,0.94,0.705,1.175
acute_prop_0,0,0,0
acute_prop_1,0,0,0
acute_prop_2,0,0,0
acute_prop_3,0,0,0
chronic_prop_0,0.001,0.00075,0.00125
chronic_prop_1,0.002,0.0015,0.0025
chronic_prop_2,0.007,0.00525,0.00875
chronic_prop_3,0.005,0.00375,0.00625
clear_prop_0,0.001,0.00075,0.00125
clear_prop_1,0.004,0.003,0.005
clear_prop_2,0.053,0.03975,0.06625
clear_prop_3,0.055,0.04125,0.06875
immune_prop_0,0,0,0
immune_prop_1,0,0,0
immune_prop_2,0,0,0
immune_prop_3,0,0,0
pop_prop_0,0.110963,0.08322225,0.13870375
pop_prop_1,0.16049,0.1203675,0.2006125
pop_prop_2,0.443568,0.332676,0.55446
pop_prop_3,0.284978,0.2137335,0.3562225
init_pop,8420000,6315000,10525000
