parameter,value,lower,upper
prog_chron_0,0.5,0.375,0.625
prog_chron_1,0.2,0.15,0.25
prog_chron_2,0.06,0.045,0.075
prog_chron_3,0.04,0.03,0.05
clr_rate_0,0,0,0
clr_rate_1,0.005,0.00375,0.00625
clr_rate_2,0.01,0.0075,0.0125
clr_rate_3,0.025,0.01875,0.03125
ac_mort_rate_0,0.001,0.00075,0.00125
ac_mort_rate_1,0.0014,0.00105,0.00175
ac_mort_rate_2,0.0035,0.002625,0.004375
ac_mort_rate_3,0.0035,0.002625,0.004375
chr_mort_rate_0,0,0,0
chr_mort_rate_1,3.00E-04,0.000225,0.000375
chr_mort_rate_2,0.002,0.0015,0.0025
chr_mort_rate_3,0.006,0.0045,0.0075
vac_eff_0,0.95,0.7125,1.1875
vac_eff_1,0.95,0.7125,1.1875
vac_eff_2,0.9,0.675,1.125
vac_eff_3,0.75,0.5625,0.9375
vac_prop_0,0.9,0.675,1.125
vac_prop_1,0.6,0.45,0.75
vac_prop_2,0.03,0.0225,0.0375
vac_prop_3,0,0,0
mig_series,1.27273,0.9545475,1.5909125
dis_rate,6,4.5,7.5
ac_res_rate,4,3,5
fol_mult,5,3.75,6.25
vacc_tog,1,0.75,1.25
